iter	Passed	Remaining
0	60	60326
1	61	30813
2	102	33989
3	103	25805
4	113	22520
5	175	29134
6	177	25153
7	178	22149
8	196	21600
9	197	19552
10	214	19320
11	255	21003
12	256	19468
13	257	18166
14	259	17029
15	288	17772
16	290	16795
17	291	15922
18	326	16871
19	328	16088
20	329	15375
21	331	14723
22	376	16011
23	378	15391
24	379	14790
25	401	15059
26	403	14534
27	404	14048
28	406	13597
29	407	13173
30	408	12779
31	410	12409
32	545	15976
33	546	15527
34	548	15130
35	550	14730
36	551	14357
37	552	13998
38	590	14556
39	592	14208
40	593	13880
41	594	13566
42	596	13265
43	597	12984
44	598	12705
45	600	12449
46	601	12198
47	618	12261
48	619	12024
49	620	11795
50	633	11796
51	635	11581
52	636	11373
53	646	11321
54	646	11115
55	648	10926
56	650	10758
57	650	10572
58	652	10404
59	653	10235
60	654	10076
61	655	9922
62	713	10612
63	714	10454
64	724	10421
65	726	10274
66	727	10127
67	728	9989
68	730	9852
69	779	10355
70	780	10217
71	782	10081
72	815	10358
73	817	10224
74	818	10093
75	819	9966
76	821	9841
77	863	10202
78	864	10078
79	865	9956
80	875	9935
81	876	9816
82	878	9702
83	879	9587
84	907	9765
85	908	9655
86	943	9899
87	944	9790
88	950	9730
89	951	9624
90	965	9648
91	967	9547
92	972	9487
93	974	9391
94	975	9293
95	1126	10607
96	1127	10500
97	1130	10409
98	1138	10363
99	1140	10262
100	1142	10165
101	1143	10066
102	1144	9969
103	1213	10457
104	1217	10376
105	1220	10289
106	1221	10194
107	1222	10100
108	1369	11193
109	1370	11090
110	1374	11007
111	1375	10902
112	1377	10809
113	1378	10713
114	1439	11079
115	1441	10981
116	1442	10887
117	1538	11496
118	1539	11397
119	1540	11296
120	1555	11297
121	1556	11202
122	1558	11108
123	1622	11464
124	1624	11370
125	1625	11275
126	1626	11183
127	1628	11093
128	1629	11005
129	1631	10917
130	1705	11311
131	1706	11221
132	1707	11134
133	1754	11336
134	1755	11248
135	1757	11162
136	1813	11423
137	1815	11341
138	1816	11250
139	1817	11166
140	1818	11078
141	1820	10997
142	1821	10917
143	1823	10837
144	1824	10759
145	1891	11061
146	1892	10982
147	1894	10904
148	1950	11140
149	1952	11062
150	1952	10979
151	1954	10902
152	1955	10826
153	1956	10746
154	1957	10670
155	1973	10677
156	2097	11260
157	2099	11188
158	2100	11112
159	2102	11037
160	2172	11321
161	2173	11245
162	2175	11170
163	2176	11096
164	2178	11023
165	2179	10950
166	2224	11093
167	2225	11022
168	2226	10949
169	2283	11148
170	2284	11077
171	2286	11007
172	2287	10937
173	2359	11200
174	2360	11129
175	2362	11058
176	2363	10988
177	2445	11292
178	2446	11219
179	2447	11150
180	2448	11081
181	2450	11013
182	2451	10946
183	2526	11202
184	2527	11134
185	2529	11067
186	2530	11000
187	2531	10935
188	2532	10866
189	2533	10801
190	2535	10737
191	2535	10672
192	2537	10609
193	2682	11142
194	2683	11077
195	2685	11013
196	2717	11075
197	2718	11011
198	2720	10950
199	2728	10912
200	2729	10849
201	2742	10836
202	2916	11450
203	2918	11387
204	2919	11323
205	2920	11258
206	2922	11195
207	3012	11469
208	3013	11405
209	3022	11370
210	3023	11307
211	3025	11243
212	3065	11328
213	3067	11266
214	3069	11205
215	3070	11143
216	3120	11258
217	3122	11199
218	3123	11140
219	3125	11080
220	3188	11239
221	3190	11179
222	3191	11119
223	3193	11063
224	3195	11005
225	3196	10947
226	3274	11149
227	3275	11091
228	3276	11032
229	3278	10975
230	3279	10918
231	3281	10861
232	3355	11045
233	3390	11097
234	3391	11040
235	3446	11155
236	3447	11098
237	3448	11041
238	3483	11092
239	3484	11035
240	3486	10979
241	3487	10922
242	3492	10880
243	3494	10826
244	3495	10771
245	3496	10718
246	3498	10665
247	3499	10612
248	3501	10560
249	3502	10508
250	3640	10863
251	3641	10809
252	3643	10757
253	3644	10704
254	3690	10781
255	3691	10728
256	3693	10677
257	3704	10654
258	3749	10728
259	3751	10676
260	3752	10625
261	3754	10574
262	3755	10523
263	3756	10473
264	3758	10423
265	3759	10373
266	3882	10659
267	3884	10609
268	3885	10559
269	4001	10819
270	4003	10768
271	4004	10717
272	4005	10667
273	4007	10617
274	4152	10947
275	4153	10895
276	4154	10844
277	4156	10794
278	4196	10844
279	4197	10793
280	4198	10744
281	4238	10791
282	4239	10741
283	4241	10692
284	4242	10643
285	4243	10594
286	4252	10563
287	4253	10516
288	4254	10468
289	4264	10441
290	4265	10393
291	4279	10376
292	4281	10329
293	4282	10283
294	4283	10237
295	4405	10478
296	4406	10430
297	4408	10385
298	4409	10338
